sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.420008 -0.019118, YSP 12.356345 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.523942 -0.070913, R -0.440924 -0.020484, YSP 17.088352 23.919687
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.491492 -0.036391, YSP 21.124060 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
